Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",C_0402,2,100nF,
C2,C_0402,1,22uF,
C21,C_0603_,1,10uF 35V,C194427
C22,C_0603_,1,10uF 6.3V,C1691
C23,C_0603_,1,100nF,
C3,C_0402,1,1uF,
C4,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"D19, D20",D_SOD-123,2,MBR0530,C5204746
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
"J1, J4",PinSocket_1x08_P2.54mm_Vertical_SMD,2,LCD,C42380985
J2,WAGO-2060-452-998-404,1,DC,C2765055
J3,WAGO-2060-453-998-404,1,TEMP,C2765056
J6,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L4,L_4x4_,1,10uH,C167879
R13,R_0402,1,4k7,
R17,R_0402_,1,124k,
R18,R_0402_,1,39k2,
R27,R_0402_,1,1M,
"R3, R4",R_0402,2,5K1,
R5,R_0402,1,10K,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U7,Sensirion_DFN-4_1.5x1.5mm_P0.5mm_SHT4x,1,SHT40,C2909890
U8,VEML6040,1,VEML6040,C78465
