Designator,Mid X,Mid Y,Rotation,Layer
C1,15.5,52.5,180.0,top
C10,13.7,55.6,180.0,top
C11,53.9,23.3,180.0,top
C2,15.5,51.5,180.0,top
C21,35.0,29.75,270.0,top
C22,30.0,29.75,270.0,top
C23,32.5,30.45,180.0,top
C3,34.5,53.0,0.0,top
C4,34.7,37.9,270.0,top
C5,22.0,26.0,0.0,top
C6,42.75,53.25,90.0,top
C7,12.0,51.0,90.0,top
C8,60.5,55.0,0.0,top
C9,9.0,55.0,270.0,top
D19,25.0,36.5,180.0,top
D20,37.75,31.5,90.0,top
D4,58.575,58.425,0.0,top
J1,8.5,42.485,0.0,top
J2,21.5,31.0,0.0,top
J3,56.55,15.9,180.0,top
J6,43.75,29.765,0.0,top
L4,32.5,33.05,180.0,top
R13,56.0,23.3,180.0,top
R17,32.5,26.55,180.0,top
R18,30.699999,26.55,180.0,top
R27,34.3,26.55,180.0,top
R3,49.5,28.5,0.0,top
R4,49.5,30.0,0.0,top
R5,34.5,52.0,180.0,top
R6,33.75,43.0,90.0,top
R7,33.75,45.25,270.0,top
U1,25.0,47.0,0.0,top
U3,32.5,28.45,180.0,top
U4,48.025,56.75,0.0,top
U5,11.0,55.0,270.0,top
U8,12.0,58.5,90.0,top
