Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,100nF,C30926
C2,C_0805_,1,2.2uF,C19110
C3,C_0805_,1,10uF,C17024
C4,C_0603,1,100nF,
C5,C_0603,1,1uF,
D1,D_1206_,1,Schottky,C143805
D2,D_1206,1,D,C143805
D3,MHS190RGBCT,1,LED_BARG,C409798
"J1, J2",PTSM-HH1-2-RA,2,DC,
L1,L_4x4_,1,6.8uH,C354575
R1,R_0603,1,100k 1%,C14675
R12,R_0603,1,10k,
R2,R_0603,1,30k 1%,C100001
R7,R_0603,1,300R,
R8,R_0603,1,1K,
R9,R_0603,1,100R,
U1,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
U4,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U7,Sensirion_DFN-4_1.5x1.5mm_P0.5mm_SHT4x,1,SHT40,C2909890
