Designator,Mid X,Mid Y,Rotation,Layer
C1,7.8,7.2,270.0,top
C2,7.6,9.5,270.0,top
C3,24.6,7.9,270.0,top
C4,30.5,15.3,180.0,top
C6,2.0,12.0,90.0,top
C7,7.0,12.0,90.0,top
C8,4.5,11.3,0.0,top
D1,26.4,8.9,270.0,top
D4,25.6,14.5,180.0,top
J1,7.0,3.25,270.0,top
J2,25.0,3.35,90.0,top
J3,16.0,11.5,0.0,bottom
J4,16.0,5.1,180.0,bottom
L2,4.5,8.7,0.0,top
R1,24.6,9.7,270.0,top
R3,25.6,12.8,270.0,top
R4,26.4,12.8,270.0,top
R5,24.8,12.8,270.0,top
R6,4.5,15.2,0.0,top
R7,6.3,15.2,0.0,top
R8,2.7,15.2,0.0,top
S1,-3.0,13.0,0.0,top
S2,34.0,13.0,0.0,top
U1,16.0,8.3,0.0,top
U3,4.5,13.3,0.0,top
U7,30.5,13.5,90.0,top
