Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",C_0402,2,100nF,
C2,C_0402,1,22uF,
C3,C_0402,1,1uF,
C6,C_0603_,1,10uF 50V,C1591
C7,C_0603_,1,10uF 6.3V,C1691
C8,C_0603_,1,100nF,
D2,D_1206,1,Schottky,C143805
D3,D_SOD-123,1,D,C1884542
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J2,WAGO-2060-452-998-404,1,DC,
J3,WAGO-2060-453-998-404,1,TEMP,
J5,AA-Pad,1,Reset,
J6,USB-C-Socket-H,1,USB-C-Socket-V,C709357
L2,L_4x4_,1,10uH,
M1,OLED1.5-RGB,1,OLED1.5-RGB,
R13,R_0402,1,4k7,
R14,R_0402_,1,124k,
R15,R_0402_,1,39k2,
R16,R_0402_,1,1M,
"R3, R4",R_0402,2,5K1,
R5,R_0402,1,10K,
"SW1, SW2, SW3",SW_PUSH_6mm_H13mm,3,SW_Push,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U2,SCD41,1,SCD41,
U6,SOT-23-6-MD8942,1,MD8942,C2684786
U7,Sensirion_DFN-4_1.5x1.5mm_P0.5mm_SHT4x,1,SHT40,C2909890
U8,VEML6040,1,VEML6040,C78465
