Designator,Mid X,Mid Y,Rotation,Layer
C1,95.3,-78.75,90.0,top
C2,96.55,-82.05,90.0,top
C3,102.8,-82.05,90.0,top
C4,94.9,-91.0,90.0,top
D1,99.68,-81.67,180.0,top
D2,94.9,-87.2,270.0,top
D3,99.2,-64.7,180.0,top
J1,99.75,-99.995,0.0,top
J2,106.025,-98.552,180.0,bottom
J3,117.8,-93.15,0.0,top
L1,101.3,-78.5,180.0,top
Logo1,128.6,-83.8,270.0,bottom
Logo2,129.8,-72.9,270.0,bottom
Logo3,129.5,-73.2,90.0,top
M1,130.2,-69.4,270.0,bottom
M2,134.5,-63.0,180.0,top
R1,94.9,-74.8,270.0,top
R10,116.55,-96.95,270.0,bottom
R11,119.05,-96.95,270.0,bottom
R12,121.55,-96.95,270.0,bottom
R13,124.05,-96.95,270.0,bottom
R14,126.55,-96.95,270.0,bottom
R2,96.2,-74.8,270.0,top
R3,93.3,-92.5,270.0,top
R4,91.8,-92.5,270.0,top
R5,99.2,-68.9,180.0,top
R6,99.2,-66.5,180.0,top
R7,99.2,-67.7,180.0,top
R8,111.55,-96.95,270.0,bottom
R9,114.05,-96.95,270.0,bottom
U1,97.4,-78.5,0.0,top
U2,99.975,-88.125,0.0,top
U3,115.25,-79.0,0.0,top
