Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,100nF,
C2,C_0805_,1,2.2uF,
C3,C_0805_,1,10uF,
C4,C_0603,1,10nF,
D1,D_1206_,1,Schottky,
D2,D_1206,1,D,
D3,LED-RGB-1.6x1.6,1,RGB,
J1,USC16-TR,1,USB-C,
J2,Molex_MiniSPOX_H2RA,1,DC,
L1,L_4x4_,1,6.8uH,
R1,R_0603,1,100k 1% or 0R,
"R10, R13",R_0603,2,4k7,
"R11, R12",R_0603,2,10k,
R2,R_0603,1,30k 1% or NF,
"R3, R4",R_0603,2,5K1,
"R5, R6",R_0603,2,27R,
R7,R_0603,1,680R,
R8,R_0603,1,2K,
R9,R_0603,1,220R,
"SW1, SW2, SW3",SW_PUSH_6mm_H13mm,3,SW_Push,
U1,RegulatorBlockFB,1,LMR16006+FB,
U2,SCD41,1,SCD41,
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U4,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U6,VEML3235SL-RA,1,VEML3235SL-RA,
