Designator,Mid X,Mid Y,Rotation,Layer
C1,45.45,14.7,0.0,top
C2,48.75,15.95,0.0,top
C3,48.75,22.2,0.0,top
C4,41.25,11.275,270.0,top
C5,51.2,33.5,180.0,top
D1,48.37,19.08,90.0,top
D2,49.0,12.75,270.0,top
D3,50.175,35.4,0.0,top
D4,50.7,5.2,270.0,top
J1,35.25,4.4,0.0,top
J2,46.0,9.15,0.0,top
J3,24.25,9.15,0.0,top
J4,54.7,11.0,270.0,top
L1,45.2,20.7,90.0,top
M1,57.5,37.0,180.0,top
R1,44.425,13.25,0.0,top
R10,40.05,11.275,90.0,top
R11,38.85,11.275,270.0,top
R12,27.25,27.675,270.0,top
R13,25.5,11.4,0.0,top
R2,44.425,12.0,0.0,top
R3,32.8,8.2,180.0,top
R4,37.6,8.2,0.0,top
R5,35.8,10.8,90.0,top
R6,34.6,10.8,90.0,top
R7,46.5,28.9,180.0,top
R8,46.5,27.8,180.0,top
R9,46.5,30.0,180.0,top
SW1,2.25,34.75,0.0,top
SW2,2.25,27.25,0.0,top
SW3,2.3,19.75,0.0,top
U1,45.2,16.8,180.0,top
U2,5.5,5.5,180.0,top
U3,35.05,14.75,270.0,top
U4,35.25,26.00675,0.0,top
U6,20.6,36.2,0.0,top
U7,53.1,28.9,0.0,top
