Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C4, C5, C9",C_0402,5,100nF,
C10,C_1206,1,100uF 6.3V,
C2,C_0402,1,22uF,
C3,C_0402,1,1uF,
C6,C_0603_,1,10uF 35V,C194427
C7,C_0603_,1,10uF 6.3V,C1691
C8,C_0603_,1,100nF,
"D1, D2, D3, D4, D5, D6",SMD1010,6,XL-1010RGBC-WS2812B,C5349953
J1,USB-C-Plug-V,1,USB-C-Plug-V,C399938
L2,L_4x4_,1,10uH,
R1,R_0402,1,10K,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
R2,R_0402,1,5K1,
R9,R_0402_,1,124k,
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U3,SCD41,1,SCD41-D-R1,
U5,SOT-23-6-MD8942,1,MD8942,C2684786
