Designator,Mid X,Mid Y,Rotation,Layer
C1,27.1,38.4,90.0,top
C10,29.175,31.1,0.0,top
C11,48.2,41.0,180.0,top
C2,27.1,40.3,90.0,top
C3,27.7,42.7,180.0,top
C4,34.4,39.1,0.0,top
C5,34.4,32.3,0.0,top
C6,32.42,35.88,270.0,top
C7,27.42,35.88,90.0,top
C8,29.92,36.58,180.0,top
C9,48.2,30.4,180.0,top
D1,34.4,37.8,135.0,top
D2,34.4,35.7,135.0,top
D3,34.4,33.6,135.0,top
D4,47.001041,33.6,315.0,top
D5,47.0,35.7,315.0,top
D6,47.001041,37.8,315.0,top
J1,48.2,35.7,270.0,bottom
L2,29.92,39.18,180.0,top
R1,29.7,42.7,180.0,top
R10,28.12,32.68,180.0,top
R11,31.72,32.68,180.0,top
R2,33.15,31.15,270.0,top
R9,29.92,32.68,180.0,top
U2,18.7,35.7,90.0,top
U3,40.7,35.7,0.0,top
U5,29.925,34.575,180.0,top
